flag,flag_value,row_count,row_pct,default_count,default_rate_pct,monitoring_note
amount_missing_flag,0,106779,79.43861267548003,7696,7.207409696663201,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
amount_missing_flag,1,27638,20.561387324519963,4457,16.126347782039222,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
amount_missing_raw_flag,0,106798,79.45274779231794,7699,7.208936496938145,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
amount_missing_raw_flag,1,27619,20.547252207682064,4454,16.126579528585395,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
amount_non_positive_flag,0,134398,99.9858648831621,12150,9.04031309989732,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
amount_non_positive_flag,1,19,0.01413511683789997,3,15.789473684210526,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
broad_data_quality_issue_count,0,17890,13.309328433159495,2657,14.851872554499721,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
broad_data_quality_issue_count,1,2948,2.193174970427848,384,13.025780189959294,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
broad_data_quality_issue_count,2,86092,64.04844625307811,4990,5.796125075500627,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
broad_data_quality_issue_count,3,27487,20.449050343334548,4122,14.996180012369484,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
core_data_quality_issue_count,0,103982,77.3577746862376,7647,7.354157450327942,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
core_data_quality_issue_count,1,30435,22.642225313762395,4506,14.80532281912272,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
employment_type_missing_flag,0,54731,40.71731998184753,5470,9.99433593393141,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
employment_type_missing_flag,1,79686,59.28268001815247,6683,8.386667670607133,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
has_broad_data_quality_issue,0,17890,13.309328433159495,2657,14.851872554499721,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
has_broad_data_quality_issue,1,116527,86.6906715668405,9496,8.14918430921589,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
has_core_data_quality_issue,0,103982,77.3577746862376,7647,7.354157450327942,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
has_core_data_quality_issue,1,30435,22.642225313762395,4506,14.80532281912272,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
industry_missing_flag,0,20834,15.499527589516207,3041,14.596332917346643,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
industry_missing_flag,1,113583,84.5004724104838,9112,8.022327284892986,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
industry_placeholder_zero_flag,0,20838,15.502503403587346,3041,14.593531049045014,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
industry_placeholder_zero_flag,1,113579,84.49749659641266,9112,8.02260981343382,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
is_verified_missing_flag,0,100910,75.07234947960451,9096,9.013972847091466,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
is_verified_missing_flag,1,33507,24.927650520395485,3057,9.12346673829349,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
married_missing_flag,0,89333,66.45959960421672,8031,8.989958917757155,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
married_missing_flag,1,45084,33.54040039578327,4122,9.142933191376098,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
principal_exceeds_amount_flag,0,131620,97.91916201075756,12104,9.19617079471205,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
principal_exceeds_amount_flag,1,2797,2.0808379892424322,49,1.7518770110833037,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
social_profile_missing_flag,0,89571,66.63666054144937,8156,9.105625704748189,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
social_profile_missing_flag,1,44846,33.36333945855063,3997,8.912723542790884,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
tier_of_employment_missing_flag,0,54731,40.71731998184753,5470,9.99433593393141,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
tier_of_employment_missing_flag,1,79686,59.28268001815247,6683,8.386667670607133,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
work_experience_missing_flag,0,20834,15.499527589516207,3041,14.596332917346643,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
work_experience_missing_flag,1,113583,84.5004724104838,9112,8.022327284892986,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
work_experience_placeholder_zero_flag,0,20838,15.502503403587346,3041,14.593531049045014,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
work_experience_placeholder_zero_flag,1,113579,84.49749659641266,9112,8.02260981343382,Missingness/data-quality flags should not be interpreted as borrower behaviour alone.
