segment_column,segment_value,segment_row_count,raw_feature,feature_label,mean_abs_shap,mean_shap,positive_contribution_share
employment_type,Salaried,489,interest_rate,Interest Rate,0.6630513072013855,-0.04292822256684303,0.5419222903885481
employment_type,Salaried,489,amount_missing_flag,Amount Missing Flag,0.19057388603687286,0.05553318187594414,0.2883435582822086
employment_type,Salaried,489,amount_missing_raw_flag,Amount Missing Raw Flag,0.17704832553863525,0.05394452437758446,0.2883435582822086
employment_type,Salaried,489,broad_data_quality_issue_count,Broad Data Quality Issue Count,0.15342794358730316,-0.04108262434601784,0.1411042944785276
employment_type,Salaried,489,total_income_pa,Total Income Pa,0.14081719517707825,-0.023221436887979507,0.5439672801635992
employment_type,Salaried,489,core_data_quality_issue_count,Core Data Quality Issue Count,0.10085297375917435,-0.07008849084377289,0.7055214723926381
employment_type,Salaried,489,income_to_loan_buffer,Income To Loan Buffer,0.06496000289916992,0.03824380040168762,0.7668711656441718
employment_type,Salaried,489,amount,Amount,0.06103365123271942,-0.013906694017350674,0.5521472392638037
employment_type,Self-Employed,128,interest_rate,Interest Rate,0.5999079942703247,0.23983892798423767,0.671875
employment_type,Self-Employed,128,amount_missing_flag,Amount Missing Flag,0.2779558598995209,0.2246657907962799,0.59375
employment_type,Self-Employed,128,amount_missing_raw_flag,Amount Missing Raw Flag,0.2711562216281891,0.20623038709163666,0.59375
employment_type,Self-Employed,128,core_data_quality_issue_count,Core Data Quality Issue Count,0.1905873864889145,-0.1691478192806244,0.390625
employment_type,Self-Employed,128,broad_data_quality_issue_count,Broad Data Quality Issue Count,0.18050821125507355,0.0009158793836832047,0.234375
employment_type,Self-Employed,128,total_income_pa,Total Income Pa,0.15852531790733337,-0.02418229728937149,0.4921875
employment_type,Self-Employed,128,amount,Amount,0.05338466912508011,0.005013629328459501,0.71875
employment_type,Self-Employed,128,income_to_loan_buffer,Income To Loan Buffer,0.053154561668634415,0.03904051333665848,0.875
employment_type,Unknown,883,interest_rate,Interest Rate,0.6136431097984314,-0.008355206809937954,0.5583238958097395
employment_type,Unknown,883,amount_missing_flag,Amount Missing Flag,0.18096229434013367,0.0402766615152359,0.26047565118912797
employment_type,Unknown,883,amount_missing_raw_flag,Amount Missing Raw Flag,0.1715494692325592,0.03930202126502991,0.26047565118912797
employment_type,Unknown,883,broad_data_quality_issue_count,Broad Data Quality Issue Count,0.15872642397880554,-0.03326927870512009,0.15288788221970556
employment_type,Unknown,883,total_income_pa,Total Income Pa,0.14020796120166779,-0.017883924767374992,0.5118912797281994
employment_type,Unknown,883,core_data_quality_issue_count,Core Data Quality Issue Count,0.09699669480323792,-0.06911592930555344,0.7236693091732729
